#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R17DF|52.1981982|0.4262810581|105.0|Raspberry Shake Citizen Science Station|2019-07-15T18:37:12|2019-07-28T17:00:04
AM|R17DF|52.1981982|0.4262733846|106.0|Raspberry Shake Citizen Science Station|2020-04-27T21:17:42|2020-05-10T17:00:26
AM|R17DF|52.1981982|0.4262733846|106.0|Raspberry Shake Citizen Science Station|2020-05-11T17:54:42|2599-12-31T23:59:59
AM|R185E|52.46846847|-1.893107401|145.0|Raspberry Shake Citizen Science Station|2019-07-31T22:24:55|2019-08-05T15:21:25
AM|R185E|52.40540541|-1.491496763|86.0|Raspberry Shake Citizen Science Station|2019-08-05T15:21:25|2019-08-05T19:56:57
AM|R185E|52.46846847|-1.893107401|145.0|Raspberry Shake Citizen Science Station|2019-08-05T19:56:57|2019-08-11T17:00:04
AM|R185E|52.46846847|-1.893107401|145.0|Raspberry Shake Citizen Science Station|2019-08-12T10:16:07|2019-08-12T11:51:55
AM|R185E|52.40540541|-1.491493382|89.0|Raspberry Shake Citizen Science Station|2019-08-12T11:51:55|2019-10-13T17:00:08
AM|R185E|52.40540541|-1.491493382|89.0|Raspberry Shake Citizen Science Station|2019-11-09T10:12:49|2019-11-11T17:00:07
AM|R18E6|52.64864865|-0.6534554951|110.0|Raspberry Shake Citizen Science Station|2019-11-29T13:04:17|2019-12-06T17:00:10
AM|R1B9F|52.65765766|-0.5941945266|63.0|Raspberry Shake Citizen Science Station|2019-06-25T19:00:03|2019-08-04T17:00:03
AM|R1B9F|52.65765766|-0.5941945266|63.0|Raspberry Shake Citizen Science Station|2019-08-27T13:56:16|2599-12-31T23:59:59
AM|R1F0E|54.79279279|-1.562790508|85.0|Raspberry Shake Citizen Science Station|2017-07-23T16:32:46|2019-10-19T17:00:07
AM|R1F0E|54.79279279|-1.562786642|86.0|Raspberry Shake Citizen Science Station|2019-10-30T20:18:08|2019-10-30T20:20:12
AM|R1F0E|54.79279279|-1.562786642|90.0|Raspberry Shake Citizen Science Station|2019-10-30T20:20:12|2020-06-06T11:01:24
AM|R1F0E|54.79279279|-1.562786642|90.0|Raspberry Shake Citizen Science Station|2020-06-07T15:58:05|2020-07-04T17:00:31
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-09-29T14:32:50|2019-10-03T17:00:06
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-10-16T09:48:46|2019-10-18T17:00:06
